Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
D01-NF-R1	132	83.8	3) high quality Nayfach	97.65	2.77	0	Coprococcus catus	species	0.979	Coprococcus catus	species	0.979	164999	2.95	0.77	33	344509	2745	56	7	3	1	TRUE	TRUE	FALSE	TRUE	28	21	10	2	0	0	0	0	2954794	2932381	2764413	1995846	676245	0	0	0	0	33	2954794	90411	7	13	0	o__Clostridiales (UID1212)	172	263	149	5	248	10	0	0	0
D01-NF-R1	135	89.8	3) high quality Nayfach	95.95	1.23	66.67	Lachnospiraceae bacterium	species	0.949	Lachnospiraceae bacterium	species	0.949	69163	2.58	0.28	50	244381	2220	43	1	1	1	TRUE	TRUE	FALSE	TRUE	41	22	6	0	0	0	0	0	2583890	2518045	2042483	957785	0	0	0	0	0	50	2583890	54567	11	21	0	o__Clostridiales (UID1212)	172	263	149	9	251	3	0	0	0
D01-NF-R1	138	24.61	0) really bad	77.76	10.63	100	Faecalibacterium prausnitzii SL3/3	strain	0.982	Faecalibacterium prausnitzii SL3/3	strain	0.982	146814	2.78	16.2	34	273228	2577	60	4	3	2	FALSE	FALSE	FALSE	FALSE	32	20	9	2	0	0	0	0	2784190	2769828	2490507	1698549	534263	0	0	0	0	34	2784190	84405	7	14	0	o__Clostridiales (UID1212)	172	261	147	65	169	27	0	0	0
D01-NF-R1	139	38.27	0) really bad	94.37	11.22	0	Subdoligranulum	genus	0.683	Subdoligranulum sp. AM16-9	species	0.351	96880	3.86	0.3	99	408467	3691	54	0	1	1	FALSE	FALSE	FALSE	FALSE	63	20	11	1	0	0	0	0	3858748	3628125	2556281	1872993	408467	0	0	0	0	99	3858748	35802	12	29	0	o__Clostridiales (UID1212)	172	261	147	11	224	26	0	0	0
D01-NF-R1	145	98.66	3) high quality Nayfach	98.66	0	0	uncultured Ruminococcus sp.	species	0.994	uncultured Ruminococcus sp.	species	0.994	631985	2.75	1.3	9	789076	2727	53	5	4	4	TRUE	TRUE	FALSE	TRUE	8	5	5	5	3	0	0	0	2749851	2748131	2697309	2697309	2697309	1996808	0	0	0	9	2749851	382769	2	4	0	o__Clostridiales (UID1212)	172	263	149	3	260	0	0	0	0
D01-NF-R1	16	40.36	1) low quality	43.91	0.71	100	Firmicutes	phylum	0.685	Firmicutes bacterium UBA6418	species	0.336	21987	1.34	0.24	80	66545	1235	22	0	0	0	TRUE	FALSE	FALSE	FALSE	50	2	0	0	0	0	0	0	1341347	1128647	125610	0	0	0	0	0	0	80	1341347	13972	21	40	0	o__Clostridiales (UID1120)	304	247	141	110	136	1	0	0	0
D01-NF-R1	18	93.29	3) high quality Nayfach	93.29	0	0	Clostridiales bacterium UBA7739	species	0.993	Clostridiales bacterium UBA7739	species	0.993	1325913	2.18	4.34	3	1325913	2007	48	2	2	2	TRUE	TRUE	FALSE	TRUE	3	2	2	2	2	1	0	0	2184906	2184906	2168759	2168759	2168759	2168759	1325913	0	0	3	2184906	842846	1	2	0	o__Clostridiales (UID1212)	172	263	149	13	250	0	0	0	0
D01-NF-R1	2	66.77	2) medium quality	90.27	4.7	0	Clostridium sp. AF36-4	species	0.989	Clostridium sp. AF36-4	species	0.989	410137	2.75	0.49	14	678376	2494	38	0	0	0	TRUE	TRUE	FALSE	FALSE	10	8	7	5	1	0	0	0	2745916	2732614	2667323	2600953	2274216	678376	0	0	0	14	2745916	351930	3	5	0	o__Clostridiales (UID1212)	172	263	149	36	218	9	0	0	0
D01-NF-R1	21	72.24	3) high quality Nayfach	90.54	3.66	16.67	uncultured Eubacteriales bacterium	species	0.865	uncultured Eubacteriales bacterium	species	0.865	59404	3.41	0.23	80	175898	3053	47	1	3	3	TRUE	TRUE	FALSE	TRUE	69	25	7	0	0	0	0	0	3407265	3328078	2124396	986229	0	0	0	0	0	80	3407265	34133	17	36	0	c__Clostridia (UID1118)	387	223	124	16	201	6	0	0	0
D01-NF-R1	23	89.74	2) medium quality	89.74	0	0	Oscillospiraceae	family	0.694	Oscillospiraceae bacterium	species	0.39	54078	2.13	0.3	58	110419	2092	50	1	2	2	TRUE	TRUE	FALSE	FALSE	46	17	2	0	0	0	0	0	2131598	2050324	1285158	213556	0	0	0	0	0	58	2131598	33125	13	25	0	o__Clostridiales (UID1212)	172	263	149	17	246	0	0	0	0
D01-NF-R1	24	95.39	3) high quality Nayfach	98.54	0.63	0	Bacteroides cellulosilyticus CL02T12C19	strain	0.947	Bacteroides cellulosilyticus CL02T12C19	strain	0.947	941973	7.01	3.62	15	1485283	5557	65	4	1	1	TRUE	TRUE	FALSE	TRUE	14	10	10	9	6	2	0	0	7005279	6998887	6859849	6859849	6685659	5481328	2608242	0	0	15	7005279	577777	3	6	0	o__Bacteroidales (UID2657)	160	490	268	28	459	3	0	0	0
D01-NF-R1	28	97.32	3) high quality Nayfach	97.32	0	0	Oscillospiraceae bacterium	species	0.988	Oscillospiraceae bacterium	species	0.988	657768	2.06	4.04	6	693431	1931	52	2	2	3	TRUE	TRUE	FALSE	TRUE	6	5	5	3	2	0	0	0	2056686	2056686	2032354	2032354	1774318	1351199	0	0	0	6	2056686	423119	2	3	0	o__Clostridiales (UID1212)	172	263	149	4	259	0	0	0	0
D01-NF-R1	30	97.76	4) high quality Bowers	97.96	0.04	0	Akkermansia muciniphila	species	0.999	Akkermansia muciniphila	species	0.999	2834496	2.85	6.12	3	2834496	2359	54	3	3	3	TRUE	TRUE	TRUE	TRUE	2	1	1	1	1	1	1	0	2853343	2850647	2834496	2834496	2834496	2834496	2834496	2834496	0	3	2853343	2834496	1	1	0	k__Bacteria (UID2982)	88	229	147	3	225	1	0	0	0
D01-NF-R1	32	89.28	2) medium quality	99.33	2.01	0	Butyricicoccus sp. BIOML-A1	species	0.959	Butyricicoccus sp. BIOML-A1	species	0.959	107922	2.7	0.67	52	260360	2558	69	5	0	4	TRUE	TRUE	FALSE	FALSE	37	15	7	1	0	0	0	0	2700035	2602206	2007651	1396602	260360	0	0	0	0	52	2700035	49245	7	16	0	o__Clostridiales (UID1212)	172	263	149	1	259	3	0	0	0
D01-NF-R1	33_sub	71.11	2) medium quality	76.71	1.12	66.67	Firmicutes bacterium CAG:145	species	0.989	Firmicutes bacterium CAG:145	species	0.989	25789	1.85	0.25	87	76768	1731	20	0	0	1	TRUE	TRUE	FALSE	FALSE	70	4	0	0	0	0	0	0	1846787	1719615	232877	0	0	0	0	0	0	87	1846787	16786	24	46	0	o__Clostridiales (UID1120)	304	247	141	66	178	3	0	0	0
D01-NF-R1	34_sub	91.06	2) medium quality	97.76	1.34	0	Firmicutes	phylum	0.786	Firmicutes bacterium CAG:137	species	0.322	604983	2.95	0.96	9	752153	2497	57	3	0	3	TRUE	TRUE	FALSE	FALSE	8	7	7	4	3	0	0	0	2952451	2943307	2925633	2925633	2427051	1974771	0	0	0	9	2952451	452280	3	4	0	o__Clostridiales (UID1212)	172	263	149	4	257	2	0	0	0
D01-NF-R1	39_sub	35.22	2) medium quality	53.67	3.69	28.57	Eubacteriales	order	0.751	[Clostridium] leptum DSM 753	strain	0.557	18390	1.62	0.18	113	60255	1521	27	1	0	3	TRUE	TRUE	FALSE	FALSE	69	2	0	0	0	0	0	0	1619834	1312405	112779	0	0	0	0	0	0	113	1619834	11343	31	60	0	o__Clostridiales (UID1212)	172	263	149	108	148	7	0	0	0
D01-NF-R1	4	97.04	3) high quality Nayfach	98.39	0.27	0	Eubacteriales	order	0.661	Lachnospiraceae bacterium	species	0.355	274034	3.17	1.05	14	836909	2831	58	6	6	6	TRUE	TRUE	FALSE	TRUE	14	12	11	4	1	0	0	0	3171308	3171308	3113683	3042769	1792616	836909	0	0	0	14	3171308	237844	4	7	0	c__Clostridia (UID1118)	387	223	124	2	220	1	0	0	0
D01-NF-R1	40	90.27	3) high quality Nayfach	93.62	0.67	0	Ruminococcaceae bacterium UBA1417	species	0.933	Ruminococcaceae bacterium UBA1417	species	0.933	401766	2.39	0.62	7	652798	2219	50	1	1	2	TRUE	TRUE	FALSE	TRUE	7	7	6	5	1	0	0	0	2390505	2390505	2390505	2299778	2140585	652798	0	0	0	7	2390505	345938	3	4	0	o__Clostridiales (UID1212)	172	263	149	12	250	1	0	0	0
D01-NF-R1	41	97.59	3) high quality Nayfach	97.59	0	0	Bilophila wadsworthia ATCC 49260	strain	0.779	Bilophila wadsworthia ATCC 49260	strain	0.779	237749	4.19	0.53	45	1180406	3552	63	2	2	2	TRUE	TRUE	FALSE	TRUE	43	17	10	4	1	1	0	0	4188493	4183238	3461308	2966338	1991355	1180406	1180406	0	0	45	4188493	74845	5	13	0	c__Deltaproteobacteria (UID3218)	61	284	169	7	277	0	0	0	0
D01-NF-R1	43_sub	12.86	0) really bad	93.96	16.22	2.5	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.747	Unclassified	Unclassified	0.747	173257	3.68	0.65	36	504249	3332	62	2	2	5	FALSE	FALSE	FALSE	FALSE	33	21	13	3	1	0	0	0	3680362	3651432	3282332	2639475	1163704	504249	0	0	0	36	3680362	92192	7	15	0	o__Clostridiales (UID1212)	172	263	149	11	212	40	0	0	0
D01-NF-R1	51_sub	94.46	3) high quality Nayfach	99.26	0.96	0	Alistipes putredinis	species	0.96	Alistipes putredinis	species	0.96	557349	2.5	3.91	8	1115594	2233	49	2	2	2	TRUE	TRUE	FALSE	TRUE	7	6	5	3	2	1	0	0	2500272	2493845	2446761	2354074	2091896	1672943	1115594	0	0	8	2500272	418953	2	3	0	p__Bacteroidetes (UID2605)	350	314	208	17	295	2	0	0	0
D01-NF-R1	54	97.7	2) medium quality	100	0.46	0	Bifidobacterium longum subsp. longum 7-1B	strain	0.917	Bifidobacterium longum subsp. longum 7-1B	strain	0.917	2477034	2.71	4.26	22	2477034	2214	59	4	4	0	TRUE	TRUE	FALSE	FALSE	7	2	1	1	1	1	1	0	2711558	2635951	2533472	2477034	2477034	2477034	2477034	2477034	0	22	2711558	2477034	1	1	0	f__Bifidobacteriaceae (UID1462)	65	476	217	0	474	2	0	0	0
D01-NF-R1	56	99.52	3) high quality Nayfach	99.52	0	0	Alistipes sp. CAG:157	species	0.76	Alistipes sp. CAG:157	species	0.76	530496	2.44	0.54	9	794085	2096	42	2	2	1	TRUE	TRUE	FALSE	TRUE	9	9	5	3	2	0	0	0	2437232	2437232	2437232	2110767	1782183	1324581	0	0	0	9	2437232	193562	2	4	0	p__Bacteroidetes (UID2605)	350	314	208	1	313	0	0	0	0
D01-NF-R1	57	55.67	2) medium quality	99.37	8.74	80	Streptococcus salivarius	species	0.688	Streptococcus salivarius CCHSS3	strain	0.528	114127	2.93	1.27	77	685449	2846	57	4	4	5	TRUE	TRUE	FALSE	FALSE	39	14	7	2	1	0	0	0	2926667	2731259	2257445	1770984	1063925	685449	0	0	0	77	2926667	53361	5	13	0	g__Streptococcus (UID684)	26	668	229	9	609	39	10	1	0
D01-NF-R1	6	-11.9	0) really bad	86.05	19.59	44.07	Lachnospiraceae	family	0.813	Lachnospiraceae bacterium NLAE-zl-G231	species	0.252	38361	8.13	0.27	339	130706	7066	49	2	0	1	FALSE	FALSE	FALSE	FALSE	233	43	3	0	0	0	0	0	8129514	7410599	3075660	379782	0	0	0	0	0	339	8129514	18953	66	142	0	f__Lachnospiraceae (UID1255)	90	354	174	34	270	47	2	1	0
D01-NF-R1	63	98.92	3) high quality Nayfach	98.92	0	0	Odoribacter splanchnicus	species	0.987	Odoribacter splanchnicus	species	0.987	175545	4.23	1.31	35	404126	3553	51	3	3	2	TRUE	TRUE	FALSE	TRUE	33	28	18	3	0	0	0	0	4232730	4224876	4094479	3449916	1017155	0	0	0	0	35	4232730	114880	9	16	0	k__Bacteria (UID2569)	434	278	186	2	276	0	0	0	0
D01-NF-R1	65	76.17	2) medium quality	88.82	2.53	0	Lachnospiraceae	family	0.687	Fusicatenibacter saccharivorans	species	0.232	283619	2.94	7.28	13	683484	2592	38	6	4	2	TRUE	TRUE	FALSE	FALSE	13	12	11	5	1	0	0	0	2942062	2942062	2929143	2864525	1911533	683484	0	0	0	13	2942062	208338	4	7	0	o__Clostridiales (UID1226)	155	278	158	30	244	4	0	0	0
D01-NF-R1	7	100	3) high quality Nayfach	100	0	0	uncultured Ruminococcus sp.	species	0.999	uncultured Ruminococcus sp.	species	0.999	340581	3.06	1.3	14	820861	2557	42	2	2	2	TRUE	TRUE	FALSE	TRUE	13	13	9	4	1	0	0	0	3059037	3056316	3056316	2751462	1927960	820861	0	0	0	14	3059037	208029	3	6	0	o__Clostridiales (UID1226)	155	278	158	0	278	0	0	0	0
D01-NF-R1	72	73.41	2) medium quality	98.66	5.05	0	Ruminococcus sp.	species	0.906	Ruminococcus sp.	species	0.906	1609156	2.76	7.35	4	1609156	2528	60	3	3	3	TRUE	TRUE	FALSE	FALSE	4	4	4	4	2	1	0	0	2764348	2764348	2764348	2764348	2764348	2129666	1609156	0	0	4	2764348	520510	1	2	0	o__Clostridiales (UID1212)	172	263	149	2	251	10	0	0	0
D01-NF-R1	75_sub	72.46	2) medium quality	72.66	0.04	50	Faecalibacterium prausnitzii L2-6	strain	0.977	Faecalibacterium prausnitzii L2-6	strain	0.977	71760	2	3.01	41	168784	1845	46	2	2	3	TRUE	TRUE	FALSE	FALSE	35	16	5	0	0	0	0	0	2003066	1965750	1414908	669636	0	0	0	0	0	41	2003066	45747	9	18	0	o__Clostridiales (UID1212)	172	261	147	75	184	2	0	0	0
D01-NF-R1	80_sub	26.63	1) low quality	27.28	0.13	100	Turicibacter sanguinis	species	0.97	Turicibacter sanguinis	species	0.97	10525	0.7	0.36	74	42132	665	5	0	0	1	TRUE	FALSE	FALSE	FALSE	26	0	0	0	0	0	0	0	699845	382302	0	0	0	0	0	0	0	74	699845	7928	23	42	0	c__Bacilli (UID285)	586	325	181	207	115	3	0	0	0
D01-NF-R1	82_sub	92.89	3) high quality Nayfach	96.99	0.82	66.67	Lachnospiraceae	family	0.7	Lachnospiraceae bacterium 1_1_57FAA	species	0.327	162004	2.51	0.63	35	284541	2190	41	1	2	1	TRUE	TRUE	FALSE	TRUE	30	15	8	2	0	0	0	0	2512630	2490285	2079439	1594085	536697	0	0	0	0	35	2512630	70673	6	12	0	f__Lachnospiraceae (UID1256)	33	333	171	20	310	3	0	0	0
D01-NF-R1	84	82.46	2) medium quality	85.81	0.67	0	Eubacteriales	order	0.833	Clostridiales bacterium	species	0.554	46617	1.96	0.25	67	122949	1909	38	1	0	1	TRUE	TRUE	FALSE	FALSE	50	11	5	0	0	0	0	0	1963467	1861362	970584	562687	0	0	0	0	0	67	1963467	23758	12	28	0	o__Clostridiales (UID1212)	172	263	149	43	219	1	0	0	0
D01-NF-R1	85	95.55	3) high quality Nayfach	95.55	0	0	Eubacterium sp. CAG:38	species	0.929	Eubacterium sp. CAG:38	species	0.929	92822	2.9	0.4	52	203683	2634	40	2	1	1	TRUE	TRUE	FALSE	TRUE	43	20	9	0	0	0	0	0	2898008	2844505	2134052	1333827	0	0	0	0	0	52	2898008	49516	11	21	0	o__Clostridiales (UID1212)	172	263	149	29	234	0	0	0	0
D01-NF-R1	87	92.03	3) high quality Nayfach	97.88	1.17	0	Clostridiales bacterium	species	0.973	Clostridiales bacterium	species	0.973	364884	3.31	0.33	25	610855	2778	49	3	4	5	TRUE	TRUE	FALSE	TRUE	24	17	8	4	1	0	0	0	3308752	3300597	3123717	2442238	1730300	610855	0	0	0	25	3308752	93365	4	9	0	o__Clostridiales (UID1120)	304	250	143	5	242	3	0	0	0
D01-NF-R1	9	82.86	2) medium quality	99.21	3.27	41.18	Roseburia faecis	species	0.857	Roseburia faecis	species	0.857	379388	3.64	4.01	16	1209946	3627	71	3	2	0	TRUE	TRUE	FALSE	FALSE	15	13	11	5	1	1	0	0	3638190	3633073	3551060	3395801	2708045	1209946	1209946	0	0	16	3638190	127661	3	6	0	f__Lachnospiraceae (UID1286)	57	420	207	3	400	17	0	0	0
D01-NF-R1	93	93.18	4) high quality Bowers	96.58	0.68	0	Oscillospiraceae bacterium	species	1	Oscillospiraceae bacterium	species	1	381742	2.99	7.98	14	756348	2708	66	3	4	3	TRUE	TRUE	TRUE	TRUE	13	11	10	4	1	0	0	0	2993713	2984845	2922168	2862220	1861259	756348	0	0	0	14	2993713	207789	3	6	0	o__Clostridiales (UID1212)	172	261	147	6	254	1	0	0	0
D01-NF-R1	95_sub	72.62	2) medium quality	72.62	0	0	Monoglobus pectinilyticus	species	0.712	Monoglobus pectinilyticus	species	0.712	27904	1.88	0.19	92	133314	1503	34	1	1	1	TRUE	TRUE	FALSE	FALSE	69	5	1	0	0	0	0	0	1884206	1733996	375758	133314	0	0	0	0	0	92	1884206	16194	21	45	0	o__Clostridiales (UID1212)	172	263	149	73	190	0	0	0	0
D01-NF-R1	bin.106_sub	62.53	2) medium quality	65.88	0.67	100	Clostridium sp. CAG:242	species	0.974	Clostridium sp. CAG:242	species	0.974	27294	1.64	0.21	73	95969	1609	30	0	2	3	TRUE	TRUE	FALSE	FALSE	58	3	0	0	0	0	0	0	1638363	1519335	240344	0	0	0	0	0	0	73	1638363	17883	20	38	0	o__Clostridiales (UID1212)	172	263	149	84	178	1	0	0	0
D01-NF-R1	bin.110	-39.93	0) really bad	81.62	24.31	7.5	Roseburia inulinivorans	species	0.704	Roseburia inulinivorans	species	0.704	63671	3.37	0.4	82	319416	3113	53	2	0	1	FALSE	FALSE	FALSE	FALSE	69	21	6	1	0	0	0	0	3367274	3277254	1964285	932443	319416	0	0	0	0	82	3367274	36694	16	34	0	f__Lachnospiraceae (UID1286)	57	420	207	74	228	117	1	0	0
D01-NF-R1	bin.117	51.92	2) medium quality	86.17	6.85	53.85	Flavonifractor plautii 1_3_50AFAA	strain	0.991	Flavonifractor plautii 1_3_50AFAA	strain	0.991	96274	2.94	0.6	52	214702	2886	42	0	0	0	TRUE	TRUE	FALSE	FALSE	48	18	8	0	0	0	0	0	2938982	2906890	2088380	1278151	0	0	0	0	0	52	2938982	46808	10	21	0	o__Clostridiales (UID1212)	172	257	149	33	213	10	1	0	0
D01-NF-R1	bin.129	28.64	2) medium quality	72.24	8.72	57.14	Firmicutes bacterium CAG:94	species	0.984	Firmicutes bacterium CAG:94	species	0.984	54455	2	0.35	52	222388	1923	24	0	0	3	TRUE	TRUE	FALSE	FALSE	43	15	3	0	0	0	0	0	2002077	1934014	1185462	435521	0	0	0	0	0	52	2002077	33993	12	23	0	o__Clostridiales (UID1212)	172	263	149	55	187	21	0	0	0
D01-NF-R1	bin.130	78.53	2) medium quality	88.03	1.9	50	Actinomycetia	class	0.817	Xylanimonas cellulosilytica	species	0.502	46586	2.15	0.2	57	153522	1823	43	2	2	1	TRUE	TRUE	FALSE	FALSE	54	12	3	0	0	0	0	0	2149623	2127876	987416	383318	0	0	0	0	0	57	2149623	30722	14	29	0	f__Actinomycetaceae (UID1531)	42	420	211	37	379	4	0	0	0
D01-NF-R1	bin.145_sub	-60.06	0) really bad	93.29	30.67	83.27	Bacteroides	genus	0.756	Bacteroides xylanisolvens SD CC 2a	strain	0.627	112914	7.37	1.87	105	283998	5823	82	6	2	3	FALSE	FALSE	FALSE	FALSE	98	53	25	2	0	0	0	0	7367096	7316847	6146045	4175310	539665	0	0	0	0	105	7367096	62804	21	43	0	g__Bacteroides (UID2691)	33	839	309	69	562	188	17	3	0
D01-NF-R1	bin.148	61.78	2) medium quality	65.38	0.72	0	Lachnospiraceae bacterium	species	0.996	Lachnospiraceae bacterium	species	0.996	227160	1.51	0.65	10	616853	1541	18	0	0	0	TRUE	TRUE	FALSE	FALSE	9	9	5	1	1	0	0	0	1514203	1508203	1508203	1185411	616853	616853	0	0	0	10	1514203	102945	2	5	0	f__Lachnospiraceae (UID1286)	57	420	207	136	282	2	0	0	0
D01-NF-R1	bin.159	86.58	2) medium quality	89.93	0.67	0	Oscillospiraceae bacterium	species	0.94	Oscillospiraceae bacterium	species	0.94	151567	2.34	0.36	28	208742	2182	37	1	2	2	TRUE	TRUE	FALSE	FALSE	26	17	9	0	0	0	0	0	2339442	2324910	2049168	1513110	0	0	0	0	0	28	2339442	67982	7	13	0	o__Clostridiales (UID1212)	172	263	149	26	236	1	0	0	0
D01-NF-R1	bin.179	29.16	1) low quality	32.91	0.75	14.29	Lachnospiraceae bacterium	species	0.732	Unclassified	Unclassified	0.406	105291	1.52	0.43	25	172285	1323	19	0	0	0	TRUE	FALSE	FALSE	FALSE	25	9	6	0	0	0	0	0	1519526	1519526	991912	763788	0	0	0	0	0	25	1519526	41252	6	13	0	o__Clostridiales (UID1226)	155	278	158	156	115	7	0	0	0
D01-NF-R1	bin.193	72.98	2) medium quality	72.98	0	0	[Ruminococcus] torques L2-14	strain	0.966	[Ruminococcus] torques L2-14	strain	0.966	433508	1.93	1.78	11	666288	1763	37	1	1	1	TRUE	TRUE	FALSE	FALSE	11	7	5	3	1	0	0	0	1927083	1927083	1817515	1650606	1385988	666288	0	0	0	11	1927083	156482	2	4	0	f__Lachnospiraceae (UID1256)	33	333	171	98	235	0	0	0	0
D01-NF-R1	bin.196	96.88	4) high quality Bowers	99.28	0.48	0	Alistipes onderdonkii WAL 8169 = DSM 19147	strain	0.889	Alistipes onderdonkii WAL 8169 = DSM 19147	strain	0.889	607481	3.48	5.24	8	1356844	2931	49	3	3	2	TRUE	TRUE	TRUE	TRUE	8	7	6	5	3	1	0	0	3478913	3478913	3444134	3381806	3205015	2529534	1356844	0	0	8	3478913	386574	2	4	0	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0
