querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
infinity_D03-NF-R1_56.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,1972980,24349,0.6729625,0.6020041,0.9876588,2931783,3277353,0.672962494154581,350
infinity_D03-NF-R1_56.fa,nanopore_D04-NF-R1_68.fa,1721926,156957,0.70353764,0.5254015,0.908848,2447525,3277353,0.703537655386564,350
infinity_D03-NF-R1_56.fa,nanopore_D04-NF-R1_maxbin.016.fa,2284172,29562,0.6920205,0.69695634,0.98705786,3300729,3277353,0.6969563547167485,350
infinity_D03-NF-R1_56.fa,nanopore_D05-NF-R1_maxbin.013.fa,1254370,17388,0.7641748,0.38273874,0.98613805,1641470,3277353,0.7641747945439149,350
infinity_D03-NF-R1_56.fa,nanopore_D06-NF-R1_bin.200.fa,939036,36364,0.85382044,0.2865227,0.96127516,1099805,3277353,0.8538204499888616,350
infinity_D03-NF-R1_56.fa,nanopore_D07-NF-R1_95.fa,2474595,32778,0.72857314,0.75505906,0.9867542,3396495,3277353,0.7550590369728253,350
infinity_D03-NF-R1_56.fa,nanopore_D08-NF-R1_bin.185.fa,2143737,28957,0.8102173,0.6541062,0.9864923,2645879,3277353,0.8102173228632148,350
infinity_D03-NF-R1_56.fa,nanopore_D09-NF-R1_maxbin.008.fa,2065297,150320,0.7658427,0.63017225,0.9272163,2696764,3277353,0.765842691462805,350
infinity_D03-NF-R1_56.fa,nanopore_D10-NF-R1_bin.5.fa,1837205,88267,0.6275606,0.56057584,0.9519558,2927534,3277353,0.627560602199667,350
infinity_D04-NF-R1_56.fa,infinity_D01-NF-R1_0.fa,2527721,43132,0.8241987,0.63840383,0.9829364,3066883,3959439,0.8241987059825888,350
infinity_D04-NF-R1_56.fa,infinity_D02-NF-R2_4.fa,2561557,44421,0.74402267,0.64694947,0.98265857,3442848,3959439,0.7440226812220581,350
infinity_D04-NF-R1_56.fa,infinity_D03-NF-R1_56.fa,2530440,36690,0.7720987,0.63909054,0.9855006,3277353,3959439,0.7720987028251153,350
infinity_D04-NF-R1_56.fa,infinity_D04-NF-R1_56.fa,3959351,0,0.99997777,0.99997777,1.0,3959439,3959439,0.9999777746291836,350
infinity_D04-NF-R1_56.fa,infinity_D05-NF-R1_bin.64.fa,2316431,38853,0.84999657,0.5850402,0.9832272,2725224,3959439,0.8499965507422509,350
infinity_D04-NF-R1_56.fa,infinity_D06-NF-R1_bin.146.fa,1314624,27012,0.89888084,0.3320228,0.97945267,1462512,3959439,0.8988808296957563,350
infinity_D04-NF-R1_56.fa,infinity_D07-NF-R1_79.fa,2427875,41371,0.7434721,0.6131866,0.98296,3265590,3959439,0.7434720831457715,350
infinity_D04-NF-R1_56.fa,infinity_D08-NF-R1_bin.40.fa,2313034,37768,0.85163915,0.58418226,0.98367167,2715979,3959439,0.8516391327031615,350
infinity_D04-NF-R1_56.fa,infinity_D09-NF-R1_bin.2.fa,2128466,137077,0.8488341,0.53756756,0.9355982,2507517,3959439,0.8488341255512923,350
infinity_D04-NF-R1_56.fa,infinity_D10-NF-R1_bin.56.fa,1790309,99170,0.838299,0.4521623,0.9446073,2135645,3959439,0.8382989682273974,350
infinity_D04-NF-R1_56.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,1970184,30712,0.6720088,0.4975917,0.9844116,2931783,3959439,0.672008808291746,350
infinity_D04-NF-R1_56.fa,nanopore_D04-NF-R1_68.fa,2242955,109448,0.9164176,0.566483,0.95120364,2447525,3959439,0.9164176055402907,350
infinity_D04-NF-R1_56.fa,nanopore_D04-NF-R1_maxbin.016.fa,2782691,4500,0.84305346,0.7027993,0.99838287,3300729,3959439,0.8430534587965265,350
infinity_D04-NF-R1_56.fa,nanopore_D05-NF-R1_maxbin.013.fa,1170408,21232,0.7130243,0.29559946,0.9818593,1641470,3959439,0.7130243013883897,350
infinity_D04-NF-R1_56.fa,nanopore_D06-NF-R1_bin.200.fa,906495,36506,0.82423246,0.22894531,0.9597284,1099805,3959439,0.8242324775755702,350
infinity_D04-NF-R1_56.fa,nanopore_D07-NF-R1_95.fa,2437966,42150,0.71778876,0.61573523,0.982711,3396495,3959439,0.717788779315147,350
infinity_D04-NF-R1_56.fa,nanopore_D08-NF-R1_bin.185.fa,2233676,35837,0.84420943,0.56413954,0.98395604,2645879,3959439,0.8442094290782005,350
infinity_D04-NF-R1_56.fa,nanopore_D09-NF-R1_maxbin.008.fa,2041515,146378,0.757024,0.5156071,0.9282993,2696764,3959439,0.7570239739183703,350
infinity_D04-NF-R1_56.fa,nanopore_D10-NF-R1_bin.5.fa,2173181,93351,0.74232477,0.54886085,0.95704406,2927534,3959439,0.7423247689010615,350
infinity_D05-NF-R1_bin.64.fa,infinity_D01-NF-R1_0.fa,2338895,29923,0.76262933,0.85823953,0.98720634,3066883,2725224,0.8582395428779432,350
infinity_D05-NF-R1_bin.64.fa,infinity_D02-NF-R2_4.fa,2466633,29812,0.71645135,0.905112,0.9879139,3442848,2725224,0.9051120201495363,350
infinity_D05-NF-R1_bin.64.fa,infinity_D03-NF-R1_56.fa,2219078,28316,0.6770946,0.8142736,0.9872397,3277353,2725224,0.8142736156734273,350
infinity_D05-NF-R1_bin.64.fa,infinity_D04-NF-R1_56.fa,2319564,39156,0.58583146,0.85114616,0.98311925,3959439,2725224,0.8511461810111756,350
infinity_D05-NF-R1_bin.64.fa,infinity_D05-NF-R1_bin.64.fa,2725221,0,0.9999989,0.9999989,1.0,2725224,2725224,0.9999988991730588,350
infinity_D05-NF-R1_bin.64.fa,infinity_D06-NF-R1_bin.146.fa,1227563,23546,0.8393524,0.45044482,0.9808189,1462512,2725224,0.839352429245025,350
infinity_D05-NF-R1_bin.64.fa,infinity_D07-NF-R1_79.fa,2333248,24533,0.71449506,0.85616744,0.9894855,3265590,2725224,0.8561674196322945,350
infinity_D05-NF-R1_bin.64.fa,infinity_D08-NF-R1_bin.40.fa,2232873,23711,0.82212454,0.8193356,0.98938096,2715979,2725224,0.8221245451455994,350
infinity_D05-NF-R1_bin.64.fa,infinity_D09-NF-R1_bin.2.fa,1650217,160385,0.658108,0.60553443,0.90280974,2507517,2725224,0.6581080008630051,350
infinity_D05-NF-R1_bin.64.fa,infinity_D10-NF-R1_bin.56.fa,1466890,109793,0.6868604,0.53826404,0.92515254,2135645,2725224,0.6868604098527611,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,1826033,21583,0.62284046,0.6700488,0.9881804,2931783,2725224,0.6700487739723413,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D04-NF-R1_68.fa,1534028,150945,0.62676704,0.56289977,0.9016022,2447525,2725224,0.6267670401732363,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D04-NF-R1_maxbin.016.fa,2210696,31937,0.6697599,0.8111979,0.98555344,3300729,2725224,0.8111979051997193,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D05-NF-R1_maxbin.013.fa,1400719,2044,0.8533321,0.5139831,0.99854076,1641470,2725224,0.8533320742992562,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D06-NF-R1_bin.200.fa,948675,35752,0.8625847,0.348109,0.9623138,1099805,2725224,0.8625847309295739,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D07-NF-R1_95.fa,2339445,24213,0.6887821,0.85844135,0.98965013,3396495,2725224,0.8584413611504963,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D08-NF-R1_bin.185.fa,2288718,25831,0.86501235,0.8398275,0.98871374,2645879,2725224,0.8650123456136883,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D09-NF-R1_maxbin.008.fa,1948162,138205,0.7224073,0.71486306,0.9290588,2696764,2725224,0.7224073000084545,350
infinity_D05-NF-R1_bin.64.fa,nanopore_D10-NF-R1_bin.5.fa,1714768,83802,0.585738,0.62922096,0.95112926,2927534,2725224,0.6292209374348677,350
infinity_D06-NF-R1_bin.146.fa,infinity_D01-NF-R1_0.fa,1229679,24095,0.400954,0.8407993,0.98040545,3066883,1462512,0.8407992549804719,350
infinity_D06-NF-R1_bin.146.fa,infinity_D02-NF-R2_4.fa,1295021,25337,0.37614816,0.8854772,0.9804351,3442848,1462512,0.8854771789906681,350
infinity_D06-NF-R1_bin.146.fa,infinity_D03-NF-R1_56.fa,1238304,25590,0.3778366,0.8466966,0.97933465,3277353,1462512,0.8466966424890873,350
infinity_D06-NF-R1_bin.146.fa,infinity_D04-NF-R1_56.fa,1311032,27036,0.3311156,0.8964248,0.9793781,3959439,1462512,0.8964247814718785,350
infinity_D06-NF-R1_bin.146.fa,infinity_D05-NF-R1_bin.64.fa,1228705,23675,0.45086387,0.84013325,0.9807317,2725224,1462512,0.8401332775389193,350
infinity_D06-NF-R1_bin.146.fa,infinity_D06-NF-R1_bin.146.fa,1462493,0,0.999987,0.999987,1.0,1462512,1462512,0.9999870086536042,350
infinity_D06-NF-R1_bin.146.fa,infinity_D07-NF-R1_79.fa,1271492,25411,0.38936058,0.8693891,0.9800148,3265590,1462512,0.8693891058671656,350
infinity_D06-NF-R1_bin.146.fa,infinity_D08-NF-R1_bin.40.fa,1225972,23163,0.4513923,0.8382646,0.9811064,2715979,1462512,0.8382645749231459,350
infinity_D06-NF-R1_bin.146.fa,infinity_D09-NF-R1_bin.2.fa,1003847,78102,0.40033507,0.68638545,0.9221973,2507517,1462512,0.6863854792302558,350
infinity_D06-NF-R1_bin.146.fa,infinity_D10-NF-R1_bin.56.fa,1142588,68264,0.5350084,0.78125036,0.9402549,2135645,1462512,0.7812503418775367,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,1154762,22467,0.39387703,0.7895744,0.98054403,2931783,1462512,0.789574376141871,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D04-NF-R1_68.fa,929597,73152,0.37981102,0.63561666,0.92130786,2447525,1462512,0.6356166650256545,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D04-NF-R1_maxbin.016.fa,1175884,25882,0.35624978,0.80401665,0.9779893,3300729,1462512,0.804016650803549,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D05-NF-R1_maxbin.013.fa,729319,16334,0.44430846,0.49867555,0.9776038,1641470,1462512,0.49867556642270283,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D06-NF-R1_bin.200.fa,780812,25762,0.7099549,0.53388417,0.96700615,1099805,1462512,0.7099549465587082,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D07-NF-R1_95.fa,1276979,25836,0.37596965,0.8731409,0.97976786,3396495,1462512,0.8731408699552551,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D08-NF-R1_bin.185.fa,1253161,24820,0.47362748,0.8568552,0.9801941,2645879,1462512,0.8568551916155218,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D09-NF-R1_maxbin.008.fa,1104465,72409,0.40955198,0.7551835,0.9344398,2696764,1462512,0.7551835472119203,350
infinity_D06-NF-R1_bin.146.fa,nanopore_D10-NF-R1_bin.5.fa,925170,46795,0.31602365,0.6325897,0.9494201,2927534,1462512,0.6325896813154354,350
infinity_D07-NF-R1_79.fa,infinity_D01-NF-R1_0.fa,2446576,29333,0.7977402,0.7491988,0.9880106,3066883,3265590,0.797740246367403,350
infinity_D07-NF-R1_79.fa,infinity_D02-NF-R2_4.fa,2666309,33019,0.77444863,0.8164861,0.98761624,3442848,3265590,0.8164861479855096,350
infinity_D07-NF-R1_79.fa,infinity_D03-NF-R1_56.fa,2447933,32840,0.7469238,0.7496143,0.9865846,3277353,3265590,0.7496143116557804,350
infinity_D07-NF-R1_79.fa,infinity_D04-NF-R1_56.fa,2423451,41015,0.6120693,0.74211735,0.9830758,3959439,3265590,0.7421173509228042,350
infinity_D07-NF-R1_79.fa,infinity_D05-NF-R1_bin.64.fa,2335579,24707,0.85702276,0.7152089,0.9894215,2725224,3265590,0.8570227621656055,350
infinity_D07-NF-R1_79.fa,infinity_D06-NF-R1_bin.146.fa,1267674,25215,0.86677855,0.3881914,0.9801092,1462512,3265590,0.8667785289966852,350
infinity_D07-NF-R1_79.fa,infinity_D07-NF-R1_79.fa,3265580,0,0.99999696,0.99999696,1.0,3265590,3265590,0.999996937766223,350
infinity_D07-NF-R1_79.fa,infinity_D08-NF-R1_bin.40.fa,2262754,24141,0.8331265,0.69290817,0.9893311,2715979,3265590,0.8331264711546003,350
infinity_D07-NF-R1_79.fa,infinity_D09-NF-R1_bin.2.fa,1714621,166174,0.68379235,0.525057,0.9030841,2507517,3265590,0.6837923730925852,350
infinity_D07-NF-R1_79.fa,infinity_D10-NF-R1_bin.56.fa,1511147,111505,0.7075834,0.46274853,0.92621166,2135645,3265590,0.7075834232749357,350
infinity_D07-NF-R1_79.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,1966366,23219,0.6707065,0.6021472,0.9881919,2931783,3265590,0.6707065290985043,350
infinity_D07-NF-R1_79.fa,nanopore_D04-NF-R1_68.fa,1670426,163708,0.682496,0.5115235,0.90199625,2447525,3265590,0.6824959908478974,350
infinity_D07-NF-R1_79.fa,nanopore_D04-NF-R1_maxbin.016.fa,2265060,31762,0.68623024,0.6936143,0.9859774,3300729,3265590,0.6936143239047156,350
infinity_D07-NF-R1_79.fa,nanopore_D05-NF-R1_maxbin.013.fa,1315836,17035,0.8016205,0.40293974,0.9870539,1641470,3265590,0.8016204986993366,350
infinity_D07-NF-R1_79.fa,nanopore_D06-NF-R1_bin.200.fa,954271,35609,0.8676729,0.2922201,0.96268463,1099805,3265590,0.8676729056514564,350
infinity_D07-NF-R1_79.fa,nanopore_D07-NF-R1_95.fa,3271140,1709,0.96309286,1.0016996,0.99947757,3396495,3265590,1.0016995397462634,350
infinity_D07-NF-R1_79.fa,nanopore_D08-NF-R1_bin.185.fa,2219279,26755,0.8387681,0.6795951,0.9879443,2645879,3265590,0.8387681371672703,350
infinity_D07-NF-R1_79.fa,nanopore_D09-NF-R1_maxbin.008.fa,2005239,148456,0.7435723,0.61405104,0.9259659,2696764,3265590,0.7435722962780577,350
infinity_D07-NF-R1_79.fa,nanopore_D10-NF-R1_bin.5.fa,1826397,86818,0.62386876,0.55928546,0.9524649,2927534,3265590,0.6238687578009342,350
infinity_D08-NF-R1_bin.40.fa,infinity_D01-NF-R1_0.fa,2362363,28669,0.77028143,0.86980164,0.98786426,3066883,2715979,0.8698016442689727,350
infinity_D08-NF-R1_bin.40.fa,infinity_D02-NF-R2_4.fa,2352387,29321,0.6832678,0.86612856,0.98753566,3442848,2715979,0.866128567268009,350
infinity_D08-NF-R1_bin.40.fa,infinity_D03-NF-R1_56.fa,2210574,27105,0.6744998,0.81391424,0.9877385,3277353,2715979,0.8139142460232571,350
infinity_D08-NF-R1_bin.40.fa,infinity_D04-NF-R1_56.fa,2312869,37738,0.5841406,0.85157835,0.98368347,3959439,2715979,0.8515783811288673,350
infinity_D08-NF-R1_bin.40.fa,infinity_D05-NF-R1_bin.64.fa,2233626,23834,0.8196119,0.8224018,0.98932946,2725224,2715979,0.8224017932391966,350
infinity_D08-NF-R1_bin.40.fa,infinity_D06-NF-R1_bin.146.fa,1224217,23064,0.83706456,0.45074612,0.9811602,1462512,2715979,0.837064584769219,350
infinity_D08-NF-R1_bin.40.fa,infinity_D07-NF-R1_79.fa,2265124,24259,0.6936339,0.8339991,0.98929024,3265590,2715979,0.8339990846762806,350
infinity_D08-NF-R1_bin.40.fa,infinity_D08-NF-R1_bin.40.fa,2715961,0,0.9999934,0.9999934,1.0,2715979,2715979,0.9999933725555316,350
infinity_D08-NF-R1_bin.40.fa,infinity_D09-NF-R1_bin.2.fa,1664434,160552,0.66377777,0.6128302,0.9035396,2507517,2715979,0.6637777530521228,350
infinity_D08-NF-R1_bin.40.fa,infinity_D10-NF-R1_bin.56.fa,1474029,107007,0.6902032,0.5427247,0.9274051,2135645,2715979,0.6902031938828784,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,1915833,22391,0.6534703,0.70539314,0.98831266,2931783,2715979,0.7053931565744801,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D04-NF-R1_68.fa,1520776,150437,0.6213526,0.5599366,0.9010788,2447525,2715979,0.6213525908826263,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D04-NF-R1_maxbin.016.fa,2194242,32335,0.66477495,0.80790097,0.9852637,3300729,2715979,0.807900944742209,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D05-NF-R1_maxbin.013.fa,1145275,13283,0.697713,0.42168036,0.9884019,1641470,2715979,0.6977130255198085,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D06-NF-R1_bin.200.fa,950851,34837,0.8645633,0.35009512,0.9633623,1099805,2715979,0.8645632634876182,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D07-NF-R1_95.fa,2269673,24046,0.6682398,0.835674,0.9894055,3396495,2715979,0.8356739871700039,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D08-NF-R1_bin.185.fa,2389596,17342,0.9031388,0.8798286,0.9927427,2645879,2715979,0.9031388056672282,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D09-NF-R1_maxbin.008.fa,1874505,140283,0.69509417,0.69017655,0.9251626,2696764,2715979,0.6950941943751845,350
infinity_D08-NF-R1_bin.40.fa,nanopore_D10-NF-R1_bin.5.fa,1674383,84690,0.57194316,0.61649334,0.94942015,2927534,2715979,0.6164933528572938,350
infinity_D09-NF-R1_bin.2.fa,infinity_D01-NF-R1_0.fa,1693511,164867,0.55219287,0.6753737,0.9026478,3066883,2507517,0.6753736863997333,350
infinity_D09-NF-R1_bin.2.fa,infinity_D02-NF-R2_4.fa,1711334,168449,0.4970693,0.6824815,0.9015686,3442848,2507517,0.6824815145819549,350
infinity_D09-NF-R1_bin.2.fa,infinity_D03-NF-R1_56.fa,1810692,162170,0.5524861,0.72210556,0.9104376,3277353,2507517,0.7221055729632142,350
infinity_D09-NF-R1_bin.2.fa,infinity_D04-NF-R1_56.fa,2141248,139100,0.5407958,0.8539316,0.9350379,3959439,2507517,0.8539315984697212,350
infinity_D09-NF-R1_bin.2.fa,infinity_D05-NF-R1_bin.64.fa,1651347,160415,0.6059491,0.65855867,0.9028581,2725224,2507517,0.6585586458636172,350
infinity_D09-NF-R1_bin.2.fa,infinity_D06-NF-R1_bin.146.fa,1002228,77983,0.6852785,0.3996894,0.92219037,1462512,2507517,0.6852784797663198,350
infinity_D09-NF-R1_bin.2.fa,infinity_D07-NF-R1_79.fa,1715540,166086,0.5253385,0.68415886,0.90318733,3265590,2507517,0.6841588711063574,350
infinity_D09-NF-R1_bin.2.fa,infinity_D08-NF-R1_bin.40.fa,1665182,160866,0.6131056,0.66407603,0.90339434,2715979,2507517,0.664076056114475,350
infinity_D09-NF-R1_bin.2.fa,infinity_D09-NF-R1_bin.2.fa,2507512,0,0.99999803,0.99999803,1.0,2507517,2507517,0.9999980059955725,350
infinity_D09-NF-R1_bin.2.fa,infinity_D10-NF-R1_bin.56.fa,1667506,31620,0.78079736,0.6650029,0.98103756,2135645,2507517,0.7807973703494728,350
infinity_D09-NF-R1_bin.2.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,1360084,133127,0.4639102,0.5424027,0.90211856,2931783,2507517,0.542402703550963,350
infinity_D09-NF-R1_bin.2.fa,nanopore_D04-NF-R1_68.fa,1954888,30016,0.79872036,0.77961105,0.98464566,2447525,2507517,0.7987203399352407,350
infinity_D09-NF-R1_bin.2.fa,nanopore_D04-NF-R1_maxbin.016.fa,1672792,166060,0.5067947,0.6671109,0.9007288,3300729,2507517,0.6671109308531109,350
