genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
infinity_D01-NF-R1_maxbin.046_sub.fa,8_1,0.010000000000000009,average,ANImf,8
nanopore_D01-NF-R1_maxbin.064_sub.fa,8_1,0.010000000000000009,average,ANImf,8
infinity_D06-NF-R1_bin.166.fa,9_1,0.010000000000000009,average,ANImf,9
nanopore_D06-NF-R1_67.fa,9_2,0.010000000000000009,average,ANImf,9
infinity_D01-NF-R1_maxbin.042_sub.fa,9_3,0.010000000000000009,average,ANImf,9
nanopore_D01-NF-R1_bin.98.fa,9_3,0.010000000000000009,average,ANImf,9
infinity_D07-NF-R1_bin.142.fa,9_4,0.010000000000000009,average,ANImf,9
infinity_D02-NF-R2_bin.154.fa,9_5,0.010000000000000009,average,ANImf,9
infinity_D05-NF-R1_77.fa,9_6,0.010000000000000009,average,ANImf,9
infinity_D06-NF-R1_58_sub.fa,9_7,0.010000000000000009,average,ANImf,9
infinity_D10-NF-R1_bin.50.fa,10_0,0.010000000000000009,average,ANImf,10
infinity_D02-NF-R2_maxbin.040.fa,11_1,0.010000000000000009,average,ANImf,11
infinity_D10-NF-R1_maxbin.031.fa,11_2,0.010000000000000009,average,ANImf,11
infinity_D09-NF-R1_bin.29.fa,11_3,0.010000000000000009,average,ANImf,11
nanopore_D09-NF-R1_maxbin.061_sub.fa,11_4,0.010000000000000009,average,ANImf,11
infinity_D08-NF-R1_122.fa,11_5,0.010000000000000009,average,ANImf,11
nanopore_D08-NF-R1_98.fa,11_6,0.010000000000000009,average,ANImf,11
infinity_D01-NF-R1_maxbin.033_sub.fa,11_7,0.010000000000000009,average,ANImf,11
nanopore_D01-NF-R1_bin.11.fa,11_7,0.010000000000000009,average,ANImf,11
infinity_D07-NF-R1_bin.151.fa,11_8,0.010000000000000009,average,ANImf,11
nanopore_D07-NF-R1_bin.84.fa,11_9,0.010000000000000009,average,ANImf,11
infinity_D03-NF-R1_bin.201_sub.fa,11_10,0.010000000000000009,average,ANImf,11
infinity_D03-NF-R1_maxbin.059_sub.fa,12_0,0.010000000000000009,average,ANImf,12
infinity_D04-NF-R1_74_sub.fa,13_0,0.010000000000000009,average,ANImf,13
infinity_D06-NF-R1_33_sub.fa,14_1,0.010000000000000009,average,ANImf,14
nanopore_D06-NF-R1_76.fa,14_1,0.010000000000000009,average,ANImf,14
infinity_D04-NF-R1_maxbin.083.fa,14_2,0.010000000000000009,average,ANImf,14
infinity_D04-NF-R1_maxbin.080.fa,15_1,0.010000000000000009,average,ANImf,15
nanopore_D04-NF-R1_56.fa,15_2,0.010000000000000009,average,ANImf,15
infinity_D05-NF-R1_51.fa,16_1,0.010000000000000009,average,ANImf,16
nanopore_D05-NF-R1_maxbin.007.fa,16_1,0.010000000000000009,average,ANImf,16
infinity_D10-NF-R1_maxbin.014.fa,17_1,0.010000000000000009,average,ANImf,17
nanopore_D10-NF-R1_maxbin.009.fa,17_2,0.010000000000000009,average,ANImf,17
infinity_D09-NF-R1_109_sub.fa,18_1,0.010000000000000009,average,ANImf,18
nanopore_D09-NF-R1_24_sub.fa,18_2,0.010000000000000009,average,ANImf,18
infinity_D03-NF-R1_72_sub.fa,18_3,0.010000000000000009,average,ANImf,18
infinity_D10-NF-R1_64.fa,18_4,0.010000000000000009,average,ANImf,18
infinity_D02-NF-R2_maxbin.061.fa,18_5,0.010000000000000009,average,ANImf,18
nanopore_D02-NF-R2_2.fa,18_6,0.010000000000000009,average,ANImf,18
infinity_D06-NF-R1_maxbin.023_sub.fa,18_7,0.010000000000000009,average,ANImf,18
infinity_D08-NF-R1_maxbin.020.fa,18_8,0.010000000000000009,average,ANImf,18
infinity_D05-NF-R1_maxbin.035.fa,18_9,0.010000000000000009,average,ANImf,18
nanopore_D05-NF-R1_maxbin.029.fa,18_9,0.010000000000000009,average,ANImf,18
infinity_D04-NF-R1_maxbin.022.fa,18_10,0.010000000000000009,average,ANImf,18
nanopore_D04-NF-R1_bin.124.fa,18_11,0.010000000000000009,average,ANImf,18
infinity_D04-NF-R1_maxbin.091.fa,19_1,0.010000000000000009,average,ANImf,19
nanopore_D04-NF-R1_bin.191.fa,19_1,0.010000000000000009,average,ANImf,19
infinity_D04-NF-R1_16_sub.fa,20_0,0.010000000000000009,average,ANImf,20
infinity_D04-NF-R1_maxbin.159.fa,21_0,0.010000000000000009,average,ANImf,21
infinity_D04-NF-R1_maxbin.118_sub.fa,22_0,0.010000000000000009,average,ANImf,22
nanopore_D04-NF-R1_maxbin.081_sub.fa,23_0,0.010000000000000009,average,ANImf,23
infinity_D04-NF-R1_70.fa,24_0,0.010000000000000009,average,ANImf,24
infinity_D02-NF-R2_maxbin.012.fa,25_1,0.010000000000000009,average,ANImf,25
infinity_D06-NF-R1_maxbin.077_sub.fa,25_1,0.010000000000000009,average,ANImf,25
nanopore_D02-NF-R2_86.fa,25_1,0.010000000000000009,average,ANImf,25
infinity_D04-NF-R1_0_sub.fa,26_1,0.010000000000000009,average,ANImf,26
nanopore_D04-NF-R1_maxbin.034.fa,26_1,0.010000000000000009,average,ANImf,26
infinity_D01-NF-R1_54.fa,26_2,0.010000000000000009,average,ANImf,26
nanopore_D01-NF-R1_maxbin.028.fa,26_2,0.010000000000000009,average,ANImf,26
infinity_D10-NF-R1_maxbin.047.fa,26_3,0.010000000000000009,average,ANImf,26
infinity_D07-NF-R1_77.fa,26_4,0.010000000000000009,average,ANImf,26
nanopore_D07-NF-R1_bin.14.fa,26_4,0.010000000000000009,average,ANImf,26
infinity_D06-NF-R1_bin.144.fa,26_5,0.010000000000000009,average,ANImf,26
infinity_D08-NF-R1_bin.129.fa,26_5,0.010000000000000009,average,ANImf,26
nanopore_D06-NF-R1_87_sub.fa,26_5,0.010000000000000009,average,ANImf,26
infinity_D05-NF-R1_maxbin.018.fa,26_6,0.010000000000000009,average,ANImf,26
infinity_D09-NF-R1_maxbin.026_sub.fa,26_7,0.010000000000000009,average,ANImf,26
infinity_D03-NF-R1_maxbin.066_sub.fa,27_0,0.010000000000000009,average,ANImf,27
infinity_D04-NF-R1_141_sub.fa,28_1,0.010000000000000009,average,ANImf,28
nanopore_D04-NF-R1_93_sub.fa,28_1,0.010000000000000009,average,ANImf,28
infinity_D04-NF-R1_maxbin.003.fa,29_1,0.010000000000000009,average,ANImf,29
nanopore_D04-NF-R1_53.fa,29_1,0.010000000000000009,average,ANImf,29
infinity_D05-NF-R1_6_sub.fa,29_2,0.010000000000000009,average,ANImf,29
nanopore_D05-NF-R1_bin.160.fa,29_2,0.010000000000000009,average,ANImf,29
infinity_D06-NF-R1_75_sub.fa,29_3,0.010000000000000009,average,ANImf,29
infinity_D08-NF-R1_bin.26.fa,29_3,0.010000000000000009,average,ANImf,29
nanopore_D06-NF-R1_bin.1.fa,29_3,0.010000000000000009,average,ANImf,29
infinity_D07-NF-R1_maxbin.004.fa,29_4,0.010000000000000009,average,ANImf,29
nanopore_D07-NF-R1_bin.146.fa,29_4,0.010000000000000009,average,ANImf,29
infinity_D03-NF-R1_maxbin.017.fa,29_5,0.010000000000000009,average,ANImf,29
nanopore_D03-NF-R1_maxbin.025.fa,29_5,0.010000000000000009,average,ANImf,29
infinity_D09-NF-R1_121_sub.fa,29_6,0.010000000000000009,average,ANImf,29
nanopore_D09-NF-R1_maxbin.010.fa,29_7,0.010000000000000009,average,ANImf,29
nanopore_D05-NF-R1_maxbin.024.fa,30_1,0.010000000000000009,average,ANImf,30
nanopore_D06-NF-R1_maxbin.031.fa,30_2,0.010000000000000009,average,ANImf,30
nanopore_D04-NF-R1_maxbin.032.fa,30_3,0.010000000000000009,average,ANImf,30
infinity_D04-NF-R1_maxbin.125.fa,31_1,0.010000000000000009,average,ANImf,31
nanopore_D04-NF-R1_bin.50_sub.fa,31_1,0.010000000000000009,average,ANImf,31
infinity_D01-NF-R1_bin.130.fa,32_0,0.010000000000000009,average,ANImf,32
infinity_D05-NF-R1_maxbin.008_sub.fa,33_0,0.010000000000000009,average,ANImf,33
infinity_D10-NF-R1_bin.127.fa,34_0,0.010000000000000009,average,ANImf,34
infinity_D02-NF-R2_25.fa,35_1,0.010000000000000009,average,ANImf,35
nanopore_D02-NF-R2_56_sub.fa,35_1,0.010000000000000009,average,ANImf,35
infinity_D07-NF-R1_105.fa,35_2,0.010000000000000009,average,ANImf,35
infinity_D09-NF-R1_maxbin.073.fa,35_2,0.010000000000000009,average,ANImf,35
nanopore_D09-NF-R1_16.fa,35_2,0.010000000000000009,average,ANImf,35
infinity_D04-NF-R1_maxbin.163.fa,36_0,0.010000000000000009,average,ANImf,36
infinity_D07-NF-R1_75.fa,37_1,0.010000000000000009,average,ANImf,37
nanopore_D07-NF-R1_47.fa,37_1,0.010000000000000009,average,ANImf,37
infinity_D01-NF-R1_56.fa,38_1,0.010000000000000009,average,ANImf,38
infinity_D05-NF-R1_11.fa,38_1,0.010000000000000009,average,ANImf,38
nanopore_D05-NF-R1_maxbin.023.fa,38_1,0.010000000000000009,average,ANImf,38
infinity_D01-NF-R1_maxbin.057.fa,39_1,0.010000000000000009,average,ANImf,39
nanopore_D01-NF-R1_50.fa,39_1,0.010000000000000009,average,ANImf,39
infinity_D07-NF-R1_bin.30.fa,40_0,0.010000000000000009,average,ANImf,40
infinity_D03-NF-R1_bin.114.fa,41_1,0.010000000000000009,average,ANImf,41
nanopore_D03-NF-R1_maxbin.010.fa,41_1,0.010000000000000009,average,ANImf,41
infinity_D09-NF-R1_maxbin.049_sub.fa,41_2,0.010000000000000009,average,ANImf,41
nanopore_D09-NF-R1_maxbin.035_sub.fa,41_2,0.010000000000000009,average,ANImf,41
infinity_D01-NF-R1_51_sub.fa,41_3,0.010000000000000009,average,ANImf,41
infinity_D06-NF-R1_maxbin.031.fa,41_3,0.010000000000000009,average,ANImf,41
infinity_D07-NF-R1_bin.179.fa,41_3,0.010000000000000009,average,ANImf,41
infinity_D08-NF-R1_maxbin.018.fa,41_3,0.010000000000000009,average,ANImf,41
infinity_D10-NF-R1_42_sub.fa,41_3,0.010000000000000009,average,ANImf,41
nanopore_D01-NF-R1_maxbin.011.fa,41_3,0.010000000000000009,average,ANImf,41
nanopore_D07-NF-R1_bin.104.fa,41_3,0.010000000000000009,average,ANImf,41
nanopore_D08-NF-R1_maxbin.012.fa,41_3,0.010000000000000009,average,ANImf,41
nanopore_D10-NF-R1_43.fa,41_3,0.010000000000000009,average,ANImf,41
infinity_D07-NF-R1_138_sub.fa,42_1,0.010000000000000009,average,ANImf,42
nanopore_D07-NF-R1_bin.36_sub.fa,42_1,0.010000000000000009,average,ANImf,42
infinity_D09-NF-R1_maxbin.058_sub.fa,43_1,0.010000000000000009,average,ANImf,43
nanopore_D09-NF-R1_bin.105.fa,43_1,0.010000000000000009,average,ANImf,43
infinity_D08-NF-R1_64_sub.fa,43_2,0.010000000000000009,average,ANImf,43
nanopore_D08-NF-R1_maxbin.018.fa,43_2,0.010000000000000009,average,ANImf,43
nanopore_D02-NF-R2_83_sub.fa,43_3,0.010000000000000009,average,ANImf,43
nanopore_D05-NF-R1_79_sub.fa,43_4,0.010000000000000009,average,ANImf,43
nanopore_D09-NF-R1_maxbin.049_sub.fa,43_5,0.010000000000000009,average,ANImf,43
infinity_D06-NF-R1_maxbin.038.fa,44_1,0.010000000000000009,average,ANImf,44
infinity_D07-NF-R1_maxbin.031.fa,44_1,0.010000000000000009,average,ANImf,44
nanopore_D07-NF-R1_bin.133.fa,44_1,0.010000000000000009,average,ANImf,44
infinity_D01-NF-R1_bin.196.fa,44_2,0.010000000000000009,average,ANImf,44
nanopore_D01-NF-R1_maxbin.006.fa,44_2,0.010000000000000009,average,ANImf,44
infinity_D03-NF-R1_77.fa,44_3,0.010000000000000009,average,ANImf,44
nanopore_D08-NF-R1_bin.172.fa,44_4,0.010000000000000009,average,ANImf,44
infinity_D04-NF-R1_bin.91.fa,45_1,0.010000000000000009,average,ANImf,45
nanopore_D04-NF-R1_37.fa,45_2,0.010000000000000009,average,ANImf,45
infinity_D02-NF-R2_maxbin.043.fa,45_3,0.010000000000000009,average,ANImf,45
nanopore_D02-NF-R2_maxbin.043.fa,45_3,0.010000000000000009,average,ANImf,45
infinity_D05-NF-R1_13.fa,45_4,0.010000000000000009,average,ANImf,45
nanopore_D05-NF-R1_maxbin.021.fa,45_4,0.010000000000000009,average,ANImf,45
nanopore_D08-NF-R1_bin.72.fa,45_4,0.010000000000000009,average,ANImf,45
infinity_D07-NF-R1_maxbin.032.fa,45_5,0.010000000000000009,average,ANImf,45
nanopore_D07-NF-R1_97_sub.fa,45_6,0.010000000000000009,average,ANImf,45
infinity_D08-NF-R1_maxbin.057_sub.fa,45_7,0.010000000000000009,average,ANImf,45
infinity_D09-NF-R1_9_sub.fa,46_0,0.010000000000000009,average,ANImf,46
infinity_D04-NF-R1_maxbin.166.fa,47_0,0.010000000000000009,average,ANImf,47
infinity_D10-NF-R1_52.fa,48_0,0.010000000000000009,average,ANImf,48
infinity_D05-NF-R1_maxbin.073.fa,49_1,0.010000000000000009,average,ANImf,49
infinity_D09-NF-R1_maxbin.067.fa,49_1,0.010000000000000009,average,ANImf,49
nanopore_D05-NF-R1_maxbin.052_sub.fa,49_1,0.010000000000000009,average,ANImf,49
nanopore_D09-NF-R1_bin.55.fa,49_1,0.010000000000000009,average,ANImf,49
infinity_D01-NF-R1_63.fa,49_2,0.010000000000000009,average,ANImf,49
infinity_D02-NF-R2_bin.238.fa,49_2,0.010000000000000009,average,ANImf,49
infinity_D04-NF-R1_133.fa,49_2,0.010000000000000009,average,ANImf,49
infinity_D07-NF-R1_97.fa,49_2,0.010000000000000009,average,ANImf,49
infinity_D08-NF-R1_12.fa,49_2,0.010000000000000009,average,ANImf,49
nanopore_D01-NF-R1_bin.51.fa,49_2,0.010000000000000009,average,ANImf,49
nanopore_D02-NF-R2_98.fa,49_2,0.010000000000000009,average,ANImf,49
nanopore_D04-NF-R1_bin.268.fa,49_2,0.010000000000000009,average,ANImf,49
nanopore_D08-NF-R1_123.fa,49_2,0.010000000000000009,average,ANImf,49
infinity_D04-NF-R1_184.fa,50_1,0.010000000000000009,average,ANImf,50
nanopore_D04-NF-R1_157.fa,50_1,0.010000000000000009,average,ANImf,50
infinity_D04-NF-R1_140.fa,51_1,0.010000000000000009,average,ANImf,51
nanopore_D04-NF-R1_48.fa,51_1,0.010000000000000009,average,ANImf,51
infinity_D03-NF-R1_51.fa,52_1,0.010000000000000009,average,ANImf,52
nanopore_D03-NF-R1_bin.33.fa,52_1,0.010000000000000009,average,ANImf,52
infinity_D03-NF-R1_117.fa,53_1,0.010000000000000009,average,ANImf,53
infinity_D04-NF-R1_maxbin.017.fa,53_2,0.010000000000000009,average,ANImf,53
nanopore_D04-NF-R1_maxbin.007.fa,53_3,0.010000000000000009,average,ANImf,53
infinity_D02-NF-R2_88.fa,54_1,0.010000000000000009,average,ANImf,54
nanopore_D02-NF-R2_72.fa,54_1,0.010000000000000009,average,ANImf,54
infinity_D10-NF-R1_101_sub.fa,54_2,0.010000000000000009,average,ANImf,54
infinity_D09-NF-R1_86.fa,55_1,0.010000000000000009,average,ANImf,55
nanopore_D09-NF-R1_84.fa,55_1,0.010000000000000009,average,ANImf,55
infinity_D09-NF-R1_bin.225.fa,56_1,0.010000000000000009,average,ANImf,56
nanopore_D09-NF-R1_36.fa,56_1,0.010000000000000009,average,ANImf,56
infinity_D10-NF-R1_10.fa,57_0,0.010000000000000009,average,ANImf,57
nanopore_D02-NF-R2_bin.69.fa,58_1,0.010000000000000009,average,ANImf,58
nanopore_D08-NF-R1_bin.221.fa,58_2,0.010000000000000009,average,ANImf,58
nanopore_D02-NF-R2_121_sub.fa,59_1,0.010000000000000009,average,ANImf,59
nanopore_D07-NF-R1_bin.51.fa,59_2,0.010000000000000009,average,ANImf,59
infinity_D05-NF-R1_bin.105_sub.fa,60_1,0.010000000000000009,average,ANImf,60
nanopore_D10-NF-R1_bin.77.fa,60_2,0.010000000000000009,average,ANImf,60
nanopore_D04-NF-R1_84_sub.fa,60_3,0.010000000000000009,average,ANImf,60
nanopore_D05-NF-R1_bin.95_sub.fa,60_4,0.010000000000000009,average,ANImf,60
infinity_D01-NF-R1_bin.145_sub.fa,60_5,0.010000000000000009,average,ANImf,60
infinity_D01-NF-R1_24.fa,61_1,0.010000000000000009,average,ANImf,61
nanopore_D01-NF-R1_maxbin.013.fa,61_1,0.010000000000000009,average,ANImf,61
nanopore_D02-NF-R2_bin.30_sub.fa,61_2,0.010000000000000009,average,ANImf,61
nanopore_D10-NF-R1_bin.33.fa,61_3,0.010000000000000009,average,ANImf,61
infinity_D02-NF-R2_bin.110_sub.fa,61_4,0.010000000000000009,average,ANImf,61
infinity_D07-NF-R1_maxbin.055.fa,62_0,0.010000000000000009,average,ANImf,62
infinity_D02-NF-R2_108_sub.fa,63_1,0.010000000000000009,average,ANImf,63
infinity_D08-NF-R1_maxbin.001.fa,63_1,0.010000000000000009,average,ANImf,63
infinity_D09-NF-R1_85_sub.fa,63_1,0.010000000000000009,average,ANImf,63
nanopore_D08-NF-R1_maxbin.001.fa,63_1,0.010000000000000009,average,ANImf,63
nanopore_D09-NF-R1_28.fa,63_1,0.010000000000000009,average,ANImf,63
infinity_D03-NF-R1_53_sub.fa,63_2,0.010000000000000009,average,ANImf,63
infinity_D04-NF-R1_bin.344.fa,63_2,0.010000000000000009,average,ANImf,63
infinity_D05-NF-R1_101.fa,63_2,0.010000000000000009,average,ANImf,63
infinity_D06-NF-R1_6_sub.fa,63_2,0.010000000000000009,average,ANImf,63
infinity_D07-NF-R1_bin.238_sub.fa,63_2,0.010000000000000009,average,ANImf,63
infinity_D10-NF-R1_maxbin.007.fa,63_2,0.010000000000000009,average,ANImf,63
nanopore_D04-NF-R1_bin.71.fa,63_2,0.010000000000000009,average,ANImf,63
nanopore_D05-NF-R1_bin.145.fa,63_2,0.010000000000000009,average,ANImf,63
nanopore_D07-NF-R1_bin.87.fa,63_2,0.010000000000000009,average,ANImf,63
nanopore_D10-NF-R1_bin.60.fa,63_3,0.010000000000000009,average,ANImf,63
nanopore_D02-NF-R2_bin.32.fa,63_4,0.010000000000000009,average,ANImf,63
nanopore_D03-NF-R1_maxbin.012_sub.fa,63_5,0.010000000000000009,average,ANImf,63
infinity_D03-NF-R1_121_sub.fa,64_0,0.010000000000000009,average,ANImf,64
infinity_D04-NF-R1_bin.243.fa,65_1,0.010000000000000009,average,ANImf,65
nanopore_D04-NF-R1_bin.283.fa,65_1,0.010000000000000009,average,ANImf,65
infinity_D09-NF-R1_114.fa,66_1,0.010000000000000009,average,ANImf,66
nanopore_D09-NF-R1_85.fa,66_1,0.010000000000000009,average,ANImf,66
infinity_D10-NF-R1_bin.79.fa,66_2,0.010000000000000009,average,ANImf,66
nanopore_D10-NF-R1_bin.39.fa,66_2,0.010000000000000009,average,ANImf,66
infinity_D06-NF-R1_57.fa,66_3,0.010000000000000009,average,ANImf,66
infinity_D08-NF-R1_maxbin.015.fa,66_3,0.010000000000000009,average,ANImf,66
nanopore_D08-NF-R1_29.fa,66_3,0.010000000000000009,average,ANImf,66
infinity_D07-NF-R1_maxbin.005.fa,66_4,0.010000000000000009,average,ANImf,66
nanopore_D07-NF-R1_maxbin.003.fa,66_4,0.010000000000000009,average,ANImf,66
infinity_D05-NF-R1_121.fa,66_5,0.010000000000000009,average,ANImf,66
nanopore_D05-NF-R1_54_sub.fa,66_5,0.010000000000000009,average,ANImf,66
infinity_D03-NF-R1_bin.198.fa,66_6,0.010000000000000009,average,ANImf,66
nanopore_D03-NF-R1_maxbin.009_sub.fa,66_6,0.010000000000000009,average,ANImf,66
nanopore_D06-NF-R1_74.fa,66_7,0.010000000000000009,average,ANImf,66
infinity_D02-NF-R2_93.fa,67_1,0.010000000000000009,average,ANImf,67
nanopore_D02-NF-R2_81_sub.fa,67_1,0.010000000000000009,average,ANImf,67
infinity_D05-NF-R1_67.fa,67_2,0.010000000000000009,average,ANImf,67
nanopore_D05-NF-R1_bin.148.fa,67_2,0.010000000000000009,average,ANImf,67
nanopore_D08-NF-R1_maxbin.005_sub.fa,67_3,0.010000000000000009,average,ANImf,67
infinity_D06-NF-R1_bin.52.fa,68_1,0.010000000000000009,average,ANImf,68
nanopore_D08-NF-R1_63_sub.fa,68_1,0.010000000000000009,average,ANImf,68
nanopore_D01-NF-R1_44.fa,68_2,0.010000000000000009,average,ANImf,68
nanopore_D04-NF-R1_bin.58_sub.fa,69_0,0.010000000000000009,average,ANImf,69
nanopore_D04-NF-R1_bin.147.fa,70_0,0.010000000000000009,average,ANImf,70
infinity_D01-NF-R1_maxbin.013.fa,71_1,0.010000000000000009,average,ANImf,71
nanopore_D01-NF-R1_maxbin.002.fa,71_1,0.010000000000000009,average,ANImf,71
infinity_D07-NF-R1_85.fa,71_2,0.010000000000000009,average,ANImf,71
nanopore_D07-NF-R1_43.fa,71_2,0.010000000000000009,average,ANImf,71
infinity_D02-NF-R2_maxbin.050.fa,71_3,0.010000000000000009,average,ANImf,71
nanopore_D02-NF-R2_57.fa,71_3,0.010000000000000009,average,ANImf,71
infinity_D08-NF-R1_maxbin.027.fa,71_4,0.010000000000000009,average,ANImf,71
infinity_D09-NF-R1_3.fa,71_4,0.010000000000000009,average,ANImf,71
nanopore_D08-NF-R1_maxbin.016.fa,71_4,0.010000000000000009,average,ANImf,71
nanopore_D09-NF-R1_57.fa,71_4,0.010000000000000009,average,ANImf,71
infinity_D05-NF-R1_132.fa,71_5,0.010000000000000009,average,ANImf,71
infinity_D10-NF-R1_97.fa,71_6,0.010000000000000009,average,ANImf,71
infinity_D04-NF-R1_bin.269.fa,72_1,0.010000000000000009,average,ANImf,72
nanopore_D04-NF-R1_bin.262.fa,72_1,0.010000000000000009,average,ANImf,72
infinity_D05-NF-R1_95_sub.fa,73_1,0.010000000000000009,average,ANImf,73
infinity_D10-NF-R1_73.fa,73_1,0.010000000000000009,average,ANImf,73
infinity_D02-NF-R2_bin.82.fa,73_2,0.010000000000000009,average,ANImf,73
infinity_D03-NF-R1_bin.53.fa,73_2,0.010000000000000009,average,ANImf,73
infinity_D07-NF-R1_46.fa,73_2,0.010000000000000009,average,ANImf,73
infinity_D08-NF-R1_33_sub.fa,73_2,0.010000000000000009,average,ANImf,73
infinity_D09-NF-R1_149.fa,73_2,0.010000000000000009,average,ANImf,73
nanopore_D02-NF-R2_17_sub.fa,73_2,0.010000000000000009,average,ANImf,73
nanopore_D07-NF-R1_80_sub.fa,73_2,0.010000000000000009,average,ANImf,73
nanopore_D08-NF-R1_bin.118.fa,73_2,0.010000000000000009,average,ANImf,73
nanopore_D09-NF-R1_94.fa,73_2,0.010000000000000009,average,ANImf,73
infinity_D04-NF-R1_maxbin.098.fa,74_1,0.010000000000000009,average,ANImf,74
nanopore_D04-NF-R1_maxbin.096.fa,74_1,0.010000000000000009,average,ANImf,74
infinity_D03-NF-R1_maxbin.035.fa,74_2,0.010000000000000009,average,ANImf,74
nanopore_D03-NF-R1_21.fa,74_2,0.010000000000000009,average,ANImf,74
infinity_D05-NF-R1_maxbin.053.fa,74_3,0.010000000000000009,average,ANImf,74
nanopore_D05-NF-R1_maxbin.033.fa,74_3,0.010000000000000009,average,ANImf,74
infinity_D07-NF-R1_140.fa,74_4,0.010000000000000009,average,ANImf,74
nanopore_D07-NF-R1_maxbin.036.fa,74_4,0.010000000000000009,average,ANImf,74
infinity_D09-NF-R1_13.fa,74_5,0.010000000000000009,average,ANImf,74
nanopore_D09-NF-R1_38.fa,74_5,0.010000000000000009,average,ANImf,74
infinity_D10-NF-R1_maxbin.060.fa,74_6,0.010000000000000009,average,ANImf,74
infinity_D07-NF-R1_147.fa,75_1,0.010000000000000009,average,ANImf,75
nanopore_D07-NF-R1_103_sub.fa,75_1,0.010000000000000009,average,ANImf,75
infinity_D07-NF-R1_bin.225_sub.fa,76_0,0.010000000000000009,average,ANImf,76
infinity_D04-NF-R1_maxbin.018.fa,77_1,0.010000000000000009,average,ANImf,77
nanopore_D04-NF-R1_maxbin.014.fa,77_1,0.010000000000000009,average,ANImf,77
infinity_D03-NF-R1_maxbin.025_sub.fa,77_2,0.010000000000000009,average,ANImf,77
infinity_D02-NF-R2_maxbin.076.fa,78_0,0.010000000000000009,average,ANImf,78
infinity_D04-NF-R1_bin.331.fa,79_1,0.010000000000000009,average,ANImf,79
nanopore_D04-NF-R1_maxbin.010.fa,79_1,0.010000000000000009,average,ANImf,79
infinity_D04-NF-R1_maxbin.069.fa,80_1,0.010000000000000009,average,ANImf,80
nanopore_D04-NF-R1_maxbin.022.fa,80_1,0.010000000000000009,average,ANImf,80
infinity_D07-NF-R1_maxbin.054.fa,81_1,0.010000000000000009,average,ANImf,81
nanopore_D07-NF-R1_maxbin.045.fa,81_1,0.010000000000000009,average,ANImf,81
infinity_D04-NF-R1_bin.27_sub.fa,81_2,0.010000000000000009,average,ANImf,81
nanopore_D04-NF-R1_maxbin.037.fa,81_2,0.010000000000000009,average,ANImf,81
infinity_D01-NF-R1_80_sub.fa,82_1,0.010000000000000009,average,ANImf,82
infinity_D03-NF-R1_129_sub.fa,82_2,0.010000000000000009,average,ANImf,82
infinity_D01-NF-R1_maxbin.113_sub.fa,83_1,0.010000000000000009,average,ANImf,83
nanopore_D01-NF-R1_bin.9.fa,83_1,0.010000000000000009,average,ANImf,83
infinity_D04-NF-R1_bin.86.fa,84_1,0.010000000000000009,average,ANImf,84
nanopore_D04-NF-R1_126.fa,84_1,0.010000000000000009,average,ANImf,84
infinity_D02-NF-R2_39.fa,85_1,0.010000000000000009,average,ANImf,85
nanopore_D02-NF-R2_85.fa,85_1,0.010000000000000009,average,ANImf,85
